step,elocal,weight,weightvar,elocalvar,eref,tau
144,(-2.2587475350727835-0.0148205848074812j),(1.0215276499807942+9.329708855548735e-06j),0.002513300662652715,0.24548760826246727,(-2.2590491673851956-0.014818050788729843j),0.01
145,(-3.769639082409629+0.0013786493792304737j),(1.0152230798872122-0.00016448747083196372j),0.002265815324713574,0.22300129144589262,(-3.7698876284341036+0.0013840502717511732j),0.01
146,(-3.184941692167713+0.020090635210047506j),(0.9941710139631145-0.0001860062873855669j),0.002608971488443672,0.26206147517599737,(-3.185285290369825+0.020093737297696784j),0.01
147,(-1.0252357835829227+0.01727185606495021j),(0.9786317066214812+2.760719947293368e-05j),0.0010753703454980496,0.10983281701320363,(-1.0252952630694612+0.01727273739765079j),0.01
148,(0.5296160718899625-0.0068945143713784185j),(0.9845729785064963+0.00023799752206066905j),0.001914257122643196,0.19432154481419445,(0.529427432120918-0.006899926551155722j),0.01
149,(-0.06035641476098788-0.029430052028787776j),(1.00591659836022+0.00022665412515541215j),0.0016554532037898657,0.16456938140374003,(-0.060491508987483567-0.029432025304589143j),0.01
150,(-2.196587591985597-0.02631042240793697j),(1.0215918240969792-3.1820463081765585e-05j),0.0014941714942194322,0.14623828522583648,(-2.1966938241726774-0.02631723304403027j),0.01
151,(-3.8123724317500187-0.0024778756899202442j),(1.016291602720131-0.00024217548748110422j),0.0027152950405541563,0.26690752047404714,(-3.8127285161527302-0.0024879027367600004j),0.01
152,(-3.2585806242808726+0.019075281900061723j),(0.994479067320114-0.00021433087095272052j),0.0032378613077918453,0.3245584576913668,(-3.259107903015029+0.019064171578066256j),0.01
153,(-1.0216064971384746+0.01559407946266627j),(0.9778746158979168+3.402452173020422e-05j),0.001515984182279993,0.15481388012492622,(-1.0217257865884628+0.01558473554779041j),0.01
154,(0.6287637156048747-0.006996688072031582j),(0.9836317583912942+0.00022219199848880607j),0.0015522215779481213,0.15775814256860668,(0.6286397869377445-0.007004205162400178j),0.01
155,(0.060499531773747554-0.024819822487480506j),(1.0056984186327473+0.00017921135712975215j),0.0013207326686439217,0.1313270783242954,(0.06041379299695204-0.024823797190446847j),0.01
